Date,Mean
2017-09-02,0.2731
2017-09-03,0.3015
2017-09-04,0.3076
2017-09-05,0.3008
2017-09-06,0.3298
2017-09-07,0.2749
2017-09-08,0.2979
2017-09-10,0.3006
2017-09-11,0.3086
2017-09-12,0.3048
2017-09-13,0.3012
2017-09-14,0.3287
2017-09-15,0.302
2017-09-16,0.2848
2017-09-19,0.3211
2017-09-20,0.337
2017-09-21,0.3055
2017-09-22,0.3607
2017-09-23,0.3172
2017-09-24,0.3211
2017-09-26,0.312
2017-09-27,0.3355
2017-09-28,0.3329
2017-09-29,0.3211
2017-09-30,0.3899
2017-10-01,0.3209
2017-10-02,0.3322
2017-10-04,0.3333
2017-10-05,0.3373
2017-10-06,0.3205
2017-10-07,0.3123
2017-10-08,0.3465
2017-10-09,0.2896
2017-10-10,0.3139
2017-10-12,0.3023
2017-10-13,0.3133
2017-10-14,0.3271
2017-10-15,0.3155
2017-10-16,0.3729
2017-10-17,0.3374
2017-10-18,0.3097
2017-10-20,0.3492
2017-10-21,0.363
2017-10-22,0.3423
2017-10-23,0.3305
2017-10-24,0.3615
2017-10-25,0.3324
2017-10-26,0.3256
2017-10-28,0.3069
2017-10-29,0.3195
2017-10-30,0.3113
2017-10-31,0.315
2017-11-01,0.3261
2017-11-02,0.2989
2017-11-03,0.2905
2017-11-05,0.3185
2017-11-06,0.3059
2017-11-07,0.336
2017-11-08,0.3033
2017-11-09,0.3641
2017-11-10,0.3034
2017-11-11,0.3243
2017-11-13,0.311
2017-11-14,0.3222
2017-11-15,0.3187
2017-11-16,0.3265
2017-11-17,0.3185
2017-11-18,0.2957
2017-11-19,0.2977
2017-11-21,0.3182
2017-11-22,0.3537
2017-11-23,0.3309
2017-11-24,0.3379
2017-11-25,0.3527
2017-11-26,0.3217
2017-11-27,0.3388
2017-11-29,0.3306
2017-11-30,0.3211
2017-12-01,0.3559
2017-12-02,0.3056
2017-12-03,0.3411
2017-12-04,0.295
2017-12-05,0.3005
2017-12-07,0.3227
2017-12-08,0.3156
2017-12-09,0.3498
2017-12-10,0.3198
2017-12-11,0.3297
2017-12-12,0.3134
2017-12-13,0.3457
2017-12-15,0.3518
2017-12-16,0.3158
2017-12-17,0.3404
2017-12-18,0.3142
2017-12-19,0.3543
2017-12-20,0.3116
2017-12-21,0.3245
2017-12-23,0.3175
2017-12-24,0.3243
2017-12-25,0.3533
2017-12-26,0.3356
2017-12-27,0.3555
2017-12-28,0.303
2017-12-29,0.3448
2017-12-31,0.3488
2018-01-01,0.3489
2018-01-02,0.3718
2018-01-03,0.3741
2018-01-04,0.3591
2018-01-05,0.337
2018-01-06,0.3644
2018-01-08,0.2705
2018-01-09,0.3406
2018-01-10,0.3093
2018-01-11,0.3351
2018-01-12,0.3946
2018-01-13,0.3416
2018-01-14,0.3443
2018-01-16,0.3292
2018-01-17,0.3872
2018-01-18,0.4726
2018-01-19,0.3732
2018-01-20,0.3937
2018-01-21,0.4261
2018-01-22,0.3952
2018-01-24,0.3868
2018-01-25,0.3891
2018-01-26,0.3646
2018-01-27,0.3884
2018-01-28,0.386
2018-01-29,0.3836
2018-01-30,0.3642
2018-02-01,0.3826
2018-02-02,0.3771
2018-02-03,0.375
2018-02-04,0.3776
2018-02-05,0.3783
2018-02-06,0.3699
2018-02-07,0.3448
2018-02-09,0.3633
2018-02-10,0.4053
2018-02-11,0.4118
2018-02-12,0.379
2018-02-13,0.3955
2018-02-14,0.395
2018-02-15,0.3825
2018-02-17,0.3825
2018-02-18,0.3731
2018-02-19,0.3987
2018-02-20,0.3842
2018-02-21,0.3919
